,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
0,SLC25A5,"2F1,ANT2,T2,T3",ENSG00000005022,10991.0,292.0,2F1,ENSG
1,KLRG1,"2F1,CLEC15A,MAFA,MAFA-L",ENSG00000139187,6380.0,10219.0,2F1,ENSG
2,S100A8,"60B8AG,CAGA,CFAG,CGLA,MRP-8,MRP8,P8,S100-A8",ENSG00000143546,10498.0,6279.0,60B8AG,ENSG
3,S100A9,"60B8AG,CAGB,CFAG,CGLB,LIAG,MAC387,MIF,MRP-14,MRP14,NIF,P14,S100-A9",ENSG00000163220,10499.0,6280.0,60B8AG,ENSG
4,RNU6V,"87U6,LH87",ENSG00000206832,10230.0,,87U6,ENSG
5,GNAI3,87U6,ENSG00000065135,4387.0,2773.0,87U6,ENSG
6,SLU7,9G8,ENSG00000164609,16939.0,10569.0,9G8,ENSG
7,SRSF7,"9G8,AAG3,HSSG1,RBM37,SFRS7,ZCCHC20,ZCRB2",ENSG00000115875,10789.0,6432.0,9G8,ENSG
8,ATP6V0A1,"A1,ATP6N1,ATP6N1A,STV1,VPH1,VPP1",ENSG00000033627,865.0,535.0,A1,ENSG
9,RFC4,"A1,RFC37",ENSG00000163918,9972.0,5984.0,A1,ENSG
10,RFC1,"A1,MHCBFB,PO-GA,RFC140",ENSG00000035928,9969.0,5981.0,A1,ENSG
11,RFC2,"A1,RFC40",ENSG00000049541,9970.0,5982.0,A1,ENSG
12,ATP6V0A2,"A2,A2V,ATP6A2,ATP6N1D,J6B7,RTF,STV1,TJ6,TJ6M,TJ6S,VPH1",ENSG00000185344,18481.0,23545.0,A2,ENSG
13,GPHA2,"A2,GPA2,MGC126572,ZSIG51",ENSG00000149735,18054.0,170589.0,A2,ENSG
14,CFAP410,"A2,C21ORF2,LRRC76,YF5",ENSG00000160226,1260.0,755.0,A2,ENSG
15,SGCA,"A2,ADHALIN,ADL,DMDA2,LGMD2D,SCARMD1",ENSG00000108823,10805.0,6442.0,A2,ENSG
16,TNFAIP3,"A20,OTUD7C",ENSG00000118503,11896.0,7128.0,A20,ENSG
17,IGKV1-27,"A20,IGKV127",ENSG00000282666,5735.0,,A20,ENSG
18,ABO,"A3GALNT,A3GALT1",ENSG00000281879,79.0,28.0,A3GALNT,ENSG
19,GBGT1,"A3GALNT,FS,MGC44848,UDP-GALNAC",ENSG00000148288,20460.0,26301.0,A3GALNT,ENSG
20,PLP2,"A4,A4-LSB,MGC126187",ENSG00000102007,9087.0,5355.0,A4,ENSG
21,ATP6V0A4,"A4,ATP6N1B,ATP6N2,RDRTA2,RTA1C,RTADR,STV1,VPH1,VPP2",ENSG00000105929,866.0,50617.0,A4,ENSG
22,SGCG,"A4,DAGA4,DMDA,DMDA1,LGMD2C,MAM,MGC130048,SCARMD2,SCG3,TYPE",ENSG00000102683,10809.0,6445.0,A4,ENSG
23,IGBP1,"A4,IBP1",ENSG00000089289,5461.0,3476.0,A4,ENSG
