Ambiguous Symbol,# of Queries
AP2,576
KRAS,148
MAP2,53
DSP,51
LRP1,49
MAP1A,46
PMP22,44
CPA3,39
CCNL1,38
PLAC8,38
C1QTNF5,37
GAL,35
SPP1,34
CPS1,32
HDC,31
CT45A5,31
CLC,31
DLC1,30
RBP1,30
GBF1,30
CPD,29
PGD,29
TNRC18,29
DSC3,29
F3,29
PLD1,28
HTT,28
JUNB,28
CAP1,28
PCM1,28
SGK2,27
SMAP1,27
CYP2D6,27
ARSB,26
LMO4,26
SERPINA11,26
TTF2,26
SPP2,26
PER1,26
FXYD6,26
S100A16,26
CAT,26
LILRA6,26
SLC23A2,26
S100A14,26
MED1,26
DEFB134,25
FAM25A,25
LGALS9B,25
CKB,25
GK,25
LGALS7,25
CST6,25
CERS1,25
TP53TG3B,25
CAP2,25
A2M,25
SPN,25
LY6G6D,25
BEX1,24
SFN,24
ZC3H18,24
MBD1,23
SPEN,23
NBL1,23
DSC1,23
SCAF1,23
NOS3,23
FLG,23
RLF,23
ELN,22
GCKR,22
LCP1,22
DUSP1,22
FCGR3A,21
GIP,21
SCG2,21
LAMB2,20
LOR,20
MLC1,20
MEIS3,20
AQP1,20
EMB,20
KLK7,19
MPDZ,19
ARG1,18
NRP1,18
MYO1C,17
TMSB15A,17
LAT2,17
TF,17
GPI,17
PRPH,17
ADAM23,16
HLA-DQB1,16
NTN4,16
RPL7A,16
NPIPA8,16
ANXA8,15
FHL1,15
TNC,15
CDH1,15
ELF1,15
BCAM,15
MAL,15
GRIK2,14
NLK,14
TRAF2,14
LRRN1,14
WBP1,14
FAP,14
CD34,14
PRR3,13
APOA2,13
NRP2,13
PHF2,13
XG,13
LST1,13
OR11H12,13
POLQ,13
SLIT3,13
MAG,13
HLA-DPB1,13
RGL1,13
GAB1,12
NAA38,12
GLS,12
CD14,12
EAF1,12
CFL1,12
HCST,12
ACAT1,12
PREP,12
ADK,12
AK6,12
CAST,12
BDP1,12
RPN2,11
FGF2,11
NPR2,11
CHD2,11
ATP1A1,11
PILRB,11
SCD,11
FH,11
POLK,11
ZNF225,11
GRIP1,11
HES1,11
HS3ST5,11
SAT2,11
CREB3,11
SPATA8,11
ACTB,11
MSC,11
BAP1,10
ARL17A,10
CHL1,10
NCAM2,10
PRPS1,10
RAB4B,10
DLG2,10
CCZ1,10
TMSB15B,10
CHMP3,10
PAN2,10
OR2A7,10
CNR2,10
ME1,10
MEF2B,10
TRAP1,10
FMO2,10
CLK1,10
COX11,10
BRF2,10
GBA,10
MBP,10
FEZ1,10
HEBP1,10
ECD,10
AGT,10
RAD54L,10
UBC,10
CRIP1,10
FKBP9,10
CFD,9
GALNT15,9
ROR1,9
AHRR,9
MGA,9
ACAT2,9
CDH19,9
INPP5E,9
SPDYE4,9
DTL,9
LAP3,9
RAI1,9
MIF,9
EGLN2,9
LBH,9
GAPDH,9
FLI1,9
GALNT13,9
C7,9
GALNT16,9
SIT1,9
PRH2,9
PTX3,9
ECE2,9
GTF2I,9
GOLGA5,9
PRG2,8
BRIP1,8
RGS9,8
HBM,8
SRM,8
CDH7,8
FHL3,8
DNAL1,8
ARHGAP19,8
HADH,8
BACH1,8
RBM5-AS1,8
GRP,8
TVP23C,8
SCG3,8
DAB1,8
PDK1,8
B3GNT6,8
USP17L10,8
HYDIN2,8
BTD,8
RPS26,8
TIFA,8
KRTAP5-3,8
CACNA1C-IT2,8
GABPB1,8
IGH,8
PRH1,8
DUSP26,8
DEFA1,8
LHFPL3-AS2,8
P2RY11,8
KLK6,8
USP31,8
TYMP,8
ADRA1A,8
G6PD,8
OSR1,8
SLC35E2,8
ACP1,8
XDH,8
STRA13,8
FABP5,8
CORO7,8
SOD2,8
LILRB3,8
BEX2,8
FHL5,8
CCK,7
PRR20B,7
SAT1,7
DBP,7
CDKN1A,7
SMO,7
CAMP,7
RPL13,7
APOBEC3A,7
HBB,7
CPO,7
AIDA,7
TAP2,7
PTMA,7
HK1,7
CLEC2B,7
LAMA3,7
TCF3,7
AQP9,7
FBXO31,7
EIF3A,7
NPR3,7
TCF4,7
TAP1,7
FNTB,7
PEMT,7
CDH3,7
SYT11,7
HARS2,7
GAS7,7
FMR1,7
MET,7
NFIC,7
NPHP3,7
FRMPD2,7
MS4A7,7
PAK2,7
RAF1,7
FAM25C,7
POLG,7
CCN1,7
ARX,7
PAM,7
RGS13,7
OR52I1,7
KRT6C,7
PC,7
RASSF3,7
MST1,7
EIF3CL,7
TPP1,7
LINC00683,7
XBP1,7
FADS2,7
CHP1,6
IQCH,6
RPL36A,6
USP21,6
BDNF,6
USP10,6
PDE4DIP,6
GP1BB,6
AMN,6
ALG2,6
CTNND1,6
AMD1,6
ADCY3,6
TADA1,6
POMP,6
LIPA,6
MMP25,6
POLB,6
TUBB,6
SCYL1,6
MM1,6
PIGF,6
DDX21,6
EBP,6
PPOX,6
POM121,6
QARS,6
RPEL1,6
LAT,6
NUS1,6
RPL10,6
HN1L,6
SPR,6
DBI,6
KSR2,6
RHEB,6
MBD2,6
RPL24,6
PIGX,6
RAC3,6
BRF1,6
FMC1,6
HPF1,6
VARS2,6
GTF2IRD2,6
ZNF688,6
ZNF32,6
ERF,6
NEU1,6
EIF5A,6
STAR,6
RPL23,6
GPT,6
LDB1,6
