,HGNC_ID,gene_symbol,collision,source,NCBI_ID,ENSG_ID,alias_symbol
0,HGNC:6380,KLRG1,2F1,HGNC,GENE ID:10219,ENSG00000139187,"2F1,CLEC15A,MAFA,MAFA-L"
1,HGNC:10991,SLC25A5,2F1,HGNC,GENE ID:292,ENSG00000005022,"2F1,T2,T3"
2,HGNC:10498,S100A8,60B8AG,HGNC,GENE ID:6279,ENSG00000143546,"60B8AG,CGLA,MRP-8,MRP8,P8,S100-A8"
3,HGNC:10499,S100A9,60B8AG,HGNC,GENE ID:6280,ENSG00000163220,"60B8AG,CGLB,LIAG,MAC387,MIF,MRP-14,MRP14,NIF,P14,S100-A9"
4,HGNC:10230,RNU6V,87U6,HGNC,GENE ID:6071,ENSG00000206832,"87U6,LH87"
5,HGNC:4387,GNAI3,87U6,HGNC,GENE ID:2773,ENSG00000065135,87U6
6,HGNC:16939,SLU7,9G8,HGNC,GENE ID:10569,ENSG00000164609,9G8
7,HGNC:10789,SRSF7,9G8,HGNC,GENE ID:6432,ENSG00000115875,"9G8,AAG3,HSSG1,RBM37,ZCCHC20,ZCRB2"
8,HGNC:9972,RFC4,A1,HGNC,GENE ID:5984,ENSG00000163918,"A1,RFC37"
9,HGNC:9969,RFC1,A1,HGNC,GENE ID:5981,ENSG00000035928,"A1,MHCBFB,PO-GA,RFC140"
10,HGNC:9970,RFC2,A1,HGNC,GENE ID:5982,ENSG00000049541,"A1,RFC40"
11,HGNC:10805,SGCA,A2,HGNC,GENE ID:6442,ENSG00000108823,"A2,DMDA2,LGMD2D,SCARMD1,adhalin"
12,HGNC:18054,GPHA2,A2,HGNC,GENE ID:170589,ENSG00000149735,"A2,GPA2,MGC126572,ZSIG51"
13,HGNC:1260,CFAP410,A2,HGNC,GENE ID:755,ENSG00000160226,"A2,LRRC76,YF5"
14,HGNC:11896,TNFAIP3,A20,HGNC,GENE ID:7128,ENSG00000118503,"A20,OTUD7C"
15,HGNC:5735,IGKV1-27,A20,HGNC,GENE ID:28935,ENSG00000244575,"A20,IGKV127"
16,HGNC:79,ABO,A3GALNT,HGNC,GENE ID:28,ENSG00000175164,"A3GALNT,A3GALT1"
17,HGNC:20460,GBGT1,A3GALNT,HGNC,GENE ID:26301,ENSG00000148288,"A3GALNT,FS,MGC44848,UDP-GalNAc"
18,HGNC:9087,PLP2,A4,HGNC,GENE ID:5355,ENSG00000102007,"A4,A4-LSB,MGC126187"
19,HGNC:10809,SGCG,A4,HGNC,GENE ID:6445,ENSG00000102683,"A4,DAGA4,DMDA,MGC130048,SCARMD2,SCG3,TYPE"
20,HGNC:7467,MTTP,ABL,HGNC,GENE ID:4547,ENSG00000138823,ABL
21,HGNC:56039,DSP-AS1,ABL,HGNC,GENE ID:101928076,ENSG00000261189,"ABL,RP3-512B11.3"
22,HGNC:3754,FLNA,ABP-280,HGNC,GENE ID:2316,ENSG00000196924,ABP-280
23,HGNC:3756,FLNC,ABP-280,HGNC,GENE ID:2318,ENSG00000128591,"ABP-280,ABPL"
24,HGNC:51408,CARD8-AS1,AC008392.1,HGNC,GENE ID:100505812,ENSG00000268001,"AC008392.1,LOC100505812"
25,HGNC:53930,ZNF114-AS1,AC008392.1,HGNC,GENE ID:105372429,ENSG00000268186,AC008392.1
26,HGNC:53593,LINC02555,AC079630.2,HGNC,,ENSG00000260943,AC079630.2
27,HGNC:53410,LINC02471,AC079630.2,HGNC,GENE ID:105369734,ENSG00000223914,AC079630.2
28,HGNC:40506,PCGF3-AS2,AC107464.2,HGNC,,ENSG00000248416,AC107464.2
29,HGNC:58148,YAP1-DT,AC107464.2,HGNC,,ENSG00000277459,AC107464.2
30,HGNC:32658,SNORA59B,ACA59,HGNC,GENE ID:677882,ENSG00000266079,ACA59
31,HGNC:32653,SNORA59A,ACA59,HGNC,GENE ID:677885,ENSG00000239149,ACA59
32,HGNC:84,ACACA,ACC1,HGNC,GENE ID:31,ENSG00000278540,"ACACalpha,ACC-alpha,ACC1,ACCA,ACCalpha,Acac1,hACC1"
33,HGNC:991,BCL2A1,ACC1,HGNC,GENE ID:597,ENSG00000140379,"ACC-1,ACC-2,ACC1,ACC2,BCL2L5,BFL1,GRS"
34,HGNC:991,BCL2A1,ACC2,HGNC,GENE ID:597,ENSG00000140379,"ACC-1,ACC-2,ACC1,ACC2,BCL2L5,BFL1,GRS"
35,HGNC:85,ACACB,ACC2,HGNC,GENE ID:32,ENSG00000076555,"ACACbeta,ACC-beta,ACC2,ACCB,ACCbeta,HACC275"
36,HGNC:84,ACACA,ACCA,HGNC,GENE ID:31,ENSG00000278540,"ACACalpha,ACC-alpha,ACC1,ACCA,ACCalpha,Acac1,hACC1"
37,HGNC:4484,GPR3,ACCA,HGNC,GENE ID:2827,ENSG00000181773,ACCA
38,HGNC:15814,ACSS2,ACS,HGNC,GENE ID:55902,ENSG00000131069,"ACS,ACSA,AceCS,dJ1161H23.1"
39,HGNC:23989,ACCS,ACS,HGNC,GENE ID:84680,ENSG00000110455,"ACS,PHACS"
40,HGNC:16496,ACSL6,ACS2,HGNC,GENE ID:23305,ENSG00000164398,"ACS2,KIAA0837,LACS2,LACS5"
41,HGNC:16526,ACSL5,ACS2,HGNC,GENE ID:51703,ENSG00000197142,"ACS2,ACS5"
42,HGNC:17371,FHL5,ACT,HGNC,GENE ID:9457,ENSG00000112214,"ACT,FLJ33049,dJ393D12.2"
43,HGNC:16,SERPINA3,ACT,HGNC,GENE ID:12,ENSG00000196136,ACT
44,HGNC:37096,POTEM,ACT,HGNC,GENE ID:641455,ENSG00000222036,"ACT,P704P,POTE14beta"
45,HGNC:24157,ACOT7,ACT,HGNC,GENE ID:11332,ENSG00000097021,"ACH1,ACT,BACH,CTE-II,LACH1,MGC1126,hBACH"
46,HGNC:268,ADORA3,AD026,HGNC,GENE ID:140,ENSG00000282608,"A3AR,AD026"
47,HGNC:51375,TMIGD3,AD026,HGNC,GENE ID:57413,ENSG00000121933,AD026
48,HGNC:186,ADA,ADA1,HGNC,GENE ID:100,ENSG00000196839,ADA1
49,HGNC:30631,TADA1,ADA1,HGNC,GENE ID:117143,ENSG00000152382,"ADA1,HFI1,STAF42,hADA1"
50,HGNC:5440,IFNGR2,AF-1,HGNC,GENE ID:3460,ENSG00000159128,AF-1
51,HGNC:9561,PSMD4,AF-1,HGNC,GENE ID:5710,ENSG00000159352,"AF,AF-1,Rpn10,S5A"
52,HGNC:328,AGR2,AG2,HGNC,GENE ID:10551,ENSG00000106541,"AG2,HAG-2,PDIA17,XAG-2"
53,HGNC:38675,C11orf96,AG2,HGNC,GENE ID:387763,ENSG00000187479,AG2
54,HGNC:25718,LPCAT1,AGPAT10,HGNC,GENE ID:79888,ENSG00000153395,"AGPAT10,AGPAT9,FLJ12443,LPLAT8"
55,HGNC:28157,GPAT3,AGPAT10,HGNC,GENE ID:84803,ENSG00000138678,"AGPAT10,HMFN0839,LPAAT-theta,MAG1,MGC11324"
56,HGNC:17858,GPSM1,AGS3,HGNC,GENE ID:26086,ENSG00000160360,"AGS3,DKFZP727I051"
57,HGNC:24116,RNASEH2C,AGS3,HGNC,GENE ID:84153,ENSG00000172922,"AGS3,AYP1"
58,HGNC:18518,RNASEH2A,AGS4,HGNC,GENE ID:10535,ENSG00000104889,"AGS4,RNASEHI,RNHIA,RNHL"
59,HGNC:13945,GPSM3,AGS4,HGNC,GENE ID:63940,ENSG00000213654,"AGS4,G18,G18.1a,G18.1b,G18.2,NG1"
60,HGNC:16472,SLC45A2,AIM-1,HGNC,GENE ID:51151,ENSG00000164175,"AIM-1,OCA4"
61,HGNC:11390,AURKB,AIM-1,HGNC,GENE ID:9212,ENSG00000178999,"AIM-1,ARK2,Aik2,AurB,IPL1,PPP1R48,STK5"
62,HGNC:17294,DAB2IP,AIP1,HGNC,GENE ID:153090,ENSG00000136848,"AF9Q34,AIP1,DIP1/2,KIAA1743"
63,HGNC:697,ARL6IP1,AIP1,HGNC,GENE ID:23204,ENSG00000170540,"AIP1,ARMER,KIAA0069,SPG61"
64,HGNC:12754,WDR1,AIP1,HGNC,GENE ID:9948,ENSG00000071127,AIP1
65,HGNC:18957,MAGI2,AIP1,HGNC,GENE ID:9863,ENSG00000187391,"ACVRIP1,AIP1,ARIP1,KIAA0705,MAGI-2"
66,HGNC:24027,ACTRT1,AIP1,HGNC,GENE ID:139741,ENSG00000123165,"AIP1,ARIP1,Arp-T1,KIAA0705"
67,HGNC:8766,PDCD6IP,AIP1,HGNC,GENE ID:10015,ENSG00000170248,"AIP1,Alix,Hp95"
